transaction_id,transaction_date,store_id,product_id,product_name,category,quantity,unit_price,total_amount,customer_segment,payment_method
TXN10046,01/15/2024,S09,P001,iPhone 15,Electronics,7,1034.37,7240.59,Loyal,Apple Pay
TXN10078,2024-01-17,S10,P014,TRX Resistance Bands,Sport,7,55.79,390.53,Premium,PayPal
RET10009,2024-03-03,S07,P012,Nespresso Machine,Home & Kitchen,-1,192.03,-192.03,Loyal,Apple Pay
RET10004,2024-02-20,S06,P012,Nespresso Machine,Home & Kitchen,-2,193.82,-387.64,Premium,Apple Pay
TXN10077,2024-01-05,S08,P016,CamelBak Water Bottle,Sports,3,30.63,91.89,Loyal,PayPal
TXN10038,2024-01-01,S03,P003,AirPods Pro,Electronics,5,237.87,1189.35,Premium,Apple Pay
TXN10040,03/22/2024,S05,P017,CeraVe Moisturizer,Beauty,4,17.45,69.8,Loyal,PayPal
TXN10124,2024-02-25,S10,P002,Samsung Galaxy S24,Elec.,8,898.15,7185.2,Prem,Debit Card
TXN10113,2024-03-30,S05,P016,CamelBak Water Bottle,Sports,6,30.33,181.98,Bgt,Debit Card
TXN10068,2024-01-06,S01,P006,Nike Air Max,Apparel,8,115.02,920.16,Loyal,PayPal
TXN10055,2024-01-27,S04,P003,AirPods Pro,Electronic,4,230.11,1030.89,Standard,Apple Pay
TXN10138,2024-02-25,S10,P012,Nespresso Machine,HOME & KITCHEN,2,202.07,404.14,Loyal,Credit Card
TXN10112,01-03-2024,S03,P002,Samsung Galaxy S24,Electronics,8,848.83,6790.64,Std,Credit Card
TXN10149,2024-01-23,S08,P004,Sony WH-1000XM5,Electronic,1,363.06,363.06,Budget,Credit Card
TXN10080,01-31-2024,S05,P006,Nike Air Max,apparel,6,121.91,819.24,Standard,PayPal
TXN10082,2024-01-24,S10,P002,Samsung Galaxy S24,Electronics,4,852.59,3410.36,Premium,Credit Card
TXN10037,03-05-2024,S08,P010,KitchenAid Mixer,Home & Kitchen,3,343.43,1030.29,Budget,Debit Card
TXN10030,2024-03-07,,P003,AirPods Pro,Electronics,5,231.3,1156.5,Loyal,Debit Card
TXN10015,01-27-2024,S03,P015,Bowflex Dumbbells,sports,4,295.2,1180.8,Budget,Apple Pay
TXN10021,2024-02-04,S04,P006,Nike Air Max,Apparel,2,111.43,222.86,Premium,PayPal
TXN10099,2024-01-13,S09,P019,La Mer Cream,Cosmetics,5,209.04,1045.2,Loyal,Apple Pay
TXN10000,2024-02-03,S09,P016,CamelBak Water Bottle,Sporting Goods,3,31.09,93.27,Standard,Apple Pay
TXN10049,2024-02-01,S09,P014,TRX Resistance Bands,Sports,7,60.0,420.0,Loyal,Debit Card
TXN10151,2024-02-18,S10,P019,La Mer Cream,Beauty,5,209.53,1047.65,Premium,Debit Card
TXN10123,01/19/2024,S09,P003,AirPods Pro,Electronics,8,260.0,2080.0,Prem,Apple Pay
TXN10019,02-02-2024,S08,P003,AirPods Pro,Electronics,3,236.99,710.97,Standard,PayPal
RET10002,2024-03-27,S06,P011,Vitamix Blender,Home & Kitchen,-2,470.06,-940.12,Standard,Credit Card
TXN10125,03-29-2024,S03,P010,KitchenAid Mixer,Home & Kitchen,1,359.08,359.08,Lyl,Apple Pay
TXN10046,01/15/2024,S09,P001,iPhone 15,Electronics,7,1034.37,7240.59,Loyal,Apple Pay
TXN10109,2024-01-25,S04,P012,Nespresso Machine,Home,2,207.22,414.44,BUDGET,PayPal
TXN10072,2024-01-12,S05,P012,Nespresso Machine,home & kitchen,6,197.01,1182.06,Premium,Debit Card
TXN10100,01-13-2024,S08,P011,Vitamix Blender,Home & Kitchen,6,431.21,2587.26,Prem,Credit Card
TXN10092,01/22/2024,S10,P014,TRX Resistance Bands,Sports,5,55.69,278.45,Loyal,PayPal
RET10008,2024-02-11,S06,P011,Vitamix Blender,Home & Kitchen,-2,477.22,-954.44,Loyal,Credit Card
TXN10089,2024-03-08,S04,P012,Nespresso Machine,Home & Kitchen,4,198.01,792.04,Loyal,PayPal
TXN10034,03/11/2024,,P005,Levi's 501 Jeans,Apparel,5,66.31,331.55,Loyal,Debit Card
TXN10044,2024-03-28,S03,P004,Sony WH-1000XM5,Electronics,8,357.75,2862.0,Standard,PayPal
TXN10146,2024-02-06,S06,P017,CeraVe Moisturizer,Beauty,4,16.07,64.28,Standard,Credit Card
TXN10044,2024-03-28,S03,P004,Sony WH-1000XM5,Electronics,8,357.75,2862.0,Standard,PayPal
TXN10121,2024-02-08,S05,P012,Nespresso Machine,Home & Kitchen,1,191.69,191.69,loyal,PayPal
TXN10026,2024-03-24,S04,P010,KitchenAid Mixer,Home & Kitchen,4,348.22,1392.88,Budget,Apple Pay
TXN10088,2024-01-02,S05,P012,Nespresso Machine,HOME & KITCHEN,1,212.7,212.7,Budget,Debit Card
TXN10024,2024-03-22,S02,P018,Dyson Airwrap,Beauty,5,638.28,3191.4,Loyal,Apple Pay
TXN10153,2024-03-28,S10,P013,Peloton Mat,Sports,6,38.63,231.78,Budget,Debit Card
TXN10157,2024-03-07,S05,P003,AirPods Pro,electronics,2,268.4,536.8,Loyal,PayPal
TXN10076,2024-03-09,S04,P020,Neutrogena SPF 50,Beauty,4,13.25,53.0,Loyal,PayPal
TXN10017,2024-01-07,S07,P002,Samsung Galaxy S24,Electronics,4,864.75,3459.0,Budget,Credit Card
RET10006,2024-03-20,S07,P018,Dyson Airwrap,Beauty,-2,603.17,-1206.34,Premium,Apple Pay
TXN10081,2024-01-02,S05,P001,iPhone 15,Electronics,8,979.44,7835.52,Premium,Apple Pay
TXN10079,2024-02-17,S03,P016,CamelBak Water Bottle,Sports,4,27.67,110.68,Premium,Apple Pay
TXN10070,01/30/2024,S10,P004,Sony WH-1000XM5,Electronics,2,340.94,763.71,Loyal,Debit Card
TXN10118,01/07/2024,S02,P004,Sony WH-1000XM5,Electronics,7,364.96,2554.72,Bgt,Credit Card
TXN10043,02/06/2024,S08,P012,Nespresso Machine,Home & Kitchen,1,203.86,203.86,Premium,Debit Card
TXN10025,2024-01-30,S07,P010,KitchenAid Mixer,Home,6,350.07,2100.42,Loyal,PayPal
RET10005,2024-01-04,S07,P007,Patagonia Fleece,Apparel,-2,157.93,-315.86,Premium,Debit Card
TXN10148,02/29/2024,S05,P003,AirPods Pro,Electronics,1,246.96,246.96,Standard,PayPal
TXN10117,2024-01-13,S02,P018,Dyson Airwrap,Beauty,6,615.73,3694.38,STANDARD,Apple Pay
TXN10098,02/17/2024,S01,P002,Samsung Galaxy S24,Electronics,1,907.25,907.25,Premium,Debit Card
TXN10141,2024-01-01,S10,P013,Peloton Mat,Sports,1,42.73,42.73,Loyal,Debit Card
,03/05/2024,S06,P014,TRX Resistance Bands,Sport,4,57.15,228.6,Loyal,Credit Card
TXN10052,2024-03-14,S09,P018,Dyson Airwrap,Beauty,3,562.37,1687.11,Loyal,Apple Pay
,2024-02-17,S08,P011,Vitamix Blender,Home & Kitchen,4,430.99,1723.96,Standard,PayPal
TXN10014,2024-03-01,S06,P020,Neutrogena SPF 50,Beauty,4,13.15,52.6,Budget,Apple Pay
TXN10056,2024-02-19,S09,P014,TRX Resistance Bands,Sports,2,62.59,125.18,Budget,Debit Card
RET10007,2024-02-25,S01,P016,CamelBak Water Bottle,Sports,-4,30.64,-122.56,Premium,Debit Card
TXN10051,2024-02-02,S06,P017,CeraVe Moisturizer,BEAUTY,5,17.75,88.75,Premium,PayPal
TXN10035,2024-03-19,S02,P005,Levi's 501 Jeans,Apparel,3,71.95,215.85,Loyal,Apple Pay
TXN10101,2024-01-24,S03,P016,CamelBak Water Bottle,Sports,2,29.69,59.38,standard,Credit Card
TXN10120,2024-03-19,S08,P002,Samsung Galaxy S24,Electronics,5,898.17,4490.85,Std,Credit Card
TXN10131,03/22/2024,S10,P014,TRX Resistance Bands,Sport,4,57.12,228.48,Premium,Credit Card
TXN10145,03-19-2024,S02,P018,Dyson Airwrap,Beauty,1,645.13,645.13,Standard,Credit Card
TXN10140,2024-01-07,S08,P019,La Mer Cream,BEAUTY,2,186.02,372.04,Premium,Debit Card
TXN10010,2024-02-15,S01,P007,Patagonia Fleece,Clothing,4,156.81,627.24,Loyal,Credit Card
TXN10023,2024-02-22,S08,P008,Champion Hoodie,Apparel,1,50.1,50.1,Standard,Debit Card
TXN10134,2024-03-26,S07,P011,Vitamix Blender,Home & Kitchen,4,438.48,1753.92,Premium,PayPal
TXN10016,03/27/2024,S01,P007,Patagonia Fleece,Apparel,3,146.55,439.65,Standard,Apple Pay
RET10000,2024-03-25,S03,P018,Dyson Airwrap,Beauty,-2,615.28,-1230.56,Budget,Apple Pay
TXN10155,01/24/2024,S10,P015,Bowflex Dumbbells,Sports,2,309.39,618.78,Premium,Credit Card
TXN10040,03/22/2024,S05,P017,CeraVe Moisturizer,Beauty,4,17.45,69.8,Loyal,PayPal
TXN10085,01/14/2024,S10,P004,Sony WH-1000XM5,Electronics,1,345.89,387.4,Loyal,Credit Card
TXN10071,02/05/2024,S01,P016,CamelBak Water Bottle,Sporting Goods,4,27.65,110.6,Premium,Apple Pay
